X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.054080771,4.65341728484725,229,A14040,4421964,2015/08/27 00:00:00+00,2015,KR 5-CL 71 24,SOLO DANOS,CHOQUE,CHAPINERO,2015/08/27 08:00:00+00,4.65341728,-74.05408077,2001192,36817
-74.093065763,4.69773593084583,230,A000281499,4434784,2016/01/22 00:00:00+00,2016,CL 80-KR 76 51,SOLO DANOS,CHOQUE,ENGATIVA,2016/01/22 15:20:00+00,4.69773593,-74.09306576,10006098,221268
-74.0945628109999,4.57589294684979,239,A000693071,4501974,2017/12/05 00:00:00+00,2017,AV AVENIDA PRIMERO DE MAYO-KR 10 02,SOLO DANOS,CHOQUE,ANTONIO NARINO,2017/12/05 13:20:00+00,4.57589295,-74.09456281,15001430,93977
-74.137772169,4.63064140284798,241,A000553647,4470740,2017/01/24 00:00:00+00,2017,AV AVENIDA DE LAS AMERICAS-KR 72 02,SOLO DANOS,CHOQUE,KENNEDY,2017/01/24 11:45:00+00,4.6306414,-74.13777217,50008329,50013138
-74.0508695889999,4.69360634684597,242,A000551938,4468964,2016/12/30 00:00:00+00,2016,KR 19-CL 106A 02,SOLO DANOS,CHOQUE,USAQUEN,2016/12/30 20:00:00+00,4.69360635,-74.05086959,1005228,52007
-74.171230919,4.62426026484819,244,A000553353,4470313,2017/01/18 00:00:00+00,2017,CL 46-KR 81H S 02,SOLO DANOS,CHOQUE,KENNEDY,2017/01/18 13:50:00+00,4.62426026,-74.17123092,8005946,245294
-74.1336491759999,4.54022382685093,248,A000555581,4473120,2017/02/17 00:00:00+00,2017,AV AVENIDA BOYACA-KR 15D 02,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR,2017/02/17 15:00:00+00,4.54022383,-74.13364918,19011427,151540
-74.123600871,4.57496421184981,250,A000756222,4505170,2018/01/11 00:00:00+00,2018,AV AVENIDA CARACAS-CL 44 S 2,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE,2018/01/11 21:30:00+00,4.57496421,-74.12360087,18001855,99047
-74.0934799039999,4.68026812984639,251,A000199686,4411392,2015/04/28 00:00:00+00,2015,CL 69-KR 66 02,CON HERIDOS,CHOQUE,ENGATIVA,2015/04/28 07:00:00+00,4.68026813,-74.0934799,10008483,224225
-74.099451121,4.74861735084417,254,A000644328,4492894,2017/09/08 00:00:00+00,2017,CL 145-KR 109C 2,CON HERIDOS,ATROPELLO,SUBA,2017/09/08 05:40:00+00,4.74861735,-74.09945112,50007355,50013390
-74.0548786049999,4.66698379184682,258,A11933,4420247,2015/08/06 00:00:00+00,2015,KR 13-CL 82 02,CON HERIDOS,CHOQUE,CHAPINERO,2015/08/06 07:50:00+00,4.66698379,-74.05487861,2000739,39517
-74.11170928,4.68158451984635,264,A000758581,4508580,2018/02/15 00:00:00+00,2018,CL 63-KR 5 2,SOLO DANOS,CHOQUE,ENGATIVA,2018/02/15 10:20:00+00,4.68158452,-74.11170928,50007049,50012254
-74.191106063,4.63037132084799,269,A000759038,4509258,2018/02/20 00:00:00+00,2018,CL 58-KR 89B S 02,SOLO DANOS,CHOQUE,BOSA,2018/02/20 15:33:00+00,4.63037132,-74.19110606,7000863,242881
-74.150574085,4.66944906084671,270,A000755803,4505306,2018/01/12 00:00:00+00,2018,KR 100-CL 16A 02,SOLO DANOS,CHOQUE,FONTIBON,2018/01/12 08:00:00+00,4.66944906,-74.15057409,9002829,
